Date	Date	Number	Name	Industry	Revenue for the month	Last month's revenue	Last year's monthly revenue	Compared with last month(%)	Change in the same month last year(%)	Cumulative revenue for the month	Cumulative revenue last year	Compared with the increase and decrease in the previous period(%)	備註
1120717	11206	1460	宏遠	紡織纖維	582440	551174	825306	5.67261881	-29.42738814	3533434	4941933	-28.5009732	-
1120717	11206	1463	強盛	紡織纖維	24894	22992	32641	8.272442589	-23.73395423	158064	251562	-37.1669807	-
1120717	11206	1464	得力	紡織纖維	657752	720197	1117759	-8.670544309	-41.15439911	4706470	6178571	-23.82591379	-
1120717	11206	1465	偉全	紡織纖維	56028	66810	44769	-16.13830265	25.14909871	299522	248612	20.47769215	-
1120717	11206	1466	聚隆	紡織纖維	205306	221558	234603	-7.335325287	-12.4879051	1110056	1537361	-27.79470794	-
1120717	11206	1467	南緯	紡織纖維	406703	343015	630109	18.56711806	-35.45513554	2119044	3264542	-35.08908754	-
1120717	11206	1468	昶和	紡織纖維	71650	97637	95434	-26.61593453	-24.92193558	561511	626156	-10.32410454	-
1120717	11206	1470	大統新創	紡織纖維	47978	56795	68978	-15.5242539	-30.44448955	381471	509230	-25.08866328	-
1120717	11206	1471	首利	電子零組件業	19050	26705	25811	-28.665044	-26.19425826	118027	128994	-8.501945827	-
1120717	11206	1472	三洋實業	建材營造	163809	170957	89237	-4.181168364	83.56623374	793401	450750	76.01797005	本公司以專案收入為主要營收，因各財務報表期間所認列專案別不同，使得營業收入同期比較不具相同基礎，此為本公司營業特性
1120717	11206	1473	台南	紡織纖維	677989	407637	743969	66.32175195	-8.868649097	3241353	4006348	-19.09457191	-
1120717	11206	1474	弘裕	紡織纖維	198878	193819	249746	2.610167218	-20.36789378	1197099	1709047	-29.95517385	-
1120717	11206	1475	業旺	紡織纖維	104764	104923	101592	-0.151539701	3.122293094	653786	565108	15.69222166	-
1120717	11206	1476	儒鴻	紡織纖維	2683867	2601391	4058697	3.170457651	-33.87367916	14318472	21393193	-33.06996296	-
1120717	11206	1477	聚陽	紡織纖維	2799688	2325560	2627755	20.38769157	6.542961577	15058368	15312548	-1.659945817	-
1120717	11206	1503	士電	電機機械	2453321	2511880	2905083	-2.331281749	-15.5507433	16649385	15346298	8.491213972	-
1120717	11206	1504	東元	電機機械	5420093	5109505	5369300	6.078631883	0.945989235	29843589	28486271	4.764814601	-
1120717	11206	1506	正道	電機機械	103076	91918	106101	12.13908048	-2.851057012	564811	591293	-4.47865948	-
1120717	11206	1512	瑞利	汽車工業	90362	95915	62628	-5.789501121	44.28370697	622007	327087	90.16561343	因至111年11月起新增運動用品批發銷售，故本年營業收入相較去年同期增加90.17%。
1120717	11206	1513	中興電	電機機械	1640207	1858144	1502907	-11.72874653	9.135628485	10771165	9114105	18.18126958	-
1120717	11206	1514	亞力	電機機械	857240	693069	786621	23.68754049	8.977512678	4114910	3453052	19.16733371	-
1120717	11206	1515	力山	電機機械	460495	274715	356466	67.62644923	29.18342843	1610844	2579091	-37.54218056	客戶庫存管理增加採購量
1120717	11206	1516	川飛	其他	40136	0	0			428787	754211	-43.14760723	主因去年船舶故障及本年度擴展新業務所致
1120717	11206	1517	利奇	電機機械	135288	133686	553672	1.198330416	-75.56531665	1042005	2577240	-59.56895749	主係產業調整庫存及去年基期較高所致。
1120717	11206	1519	華城	電機機械	1403435	614688	934679	128.3166419	50.15154936	4643264	3440482	34.9596946	本公司為客製化產品營收起伏大，本月營收較同期增加50.15%，主要是認列公營案及外銷案。
1120717	11206	1521	大億	汽車工業	329626	428266	380583	-23.03241443	-13.389195	2292865	2397377	-4.359431162	-
1120717	11206	1522	堤維西	汽車工業	1595785	1745468	1761328	-8.575522439	-9.398760481	9496725	9607788	-1.155968471	-
1120717	11206	1524	耿鼎	汽車工業	231043	239715	239136	-3.617629268	-3.384266693	1243191	1231255	0.969417383	-
1120717	11206	1525	江申	汽車工業	129998	155138	132173	-16.20492723	-1.645570578	880199	665985	32.1649887	-
1120717	11206	1526	日馳	電機機械	105058	76947	209828	36.53293826	-49.93137236	620805	1123037	-44.72087741	-
1120717	11206	1527	鑽全	電機機械	200096	215660	335713	-7.216915515	-40.3967079	1420741	2301222	-38.26145413	-
